route_long_name,latitude,longitude
Ramakrishna Hegde Nagara - Boopa Sandra,,
Sahakar Nagar Police Out Post - BAGMANE TECH PARK,,
Depot-13-BS - MCTC Bus Stand,,
Mangammana Palya - Sophiya High School,,
Arishinakunte - KR Puram,,
BANASHANKARI TTMC - Kengeri TTMC,,
Shivajinagar Bus Station - BALAJI LAYOUT,,
Kempegowda Bus Station - Tattanur,,
Kempegowda Bus Station - Lakshmi Temple,,
Sompura - Kempegowda Bus Station,,
Krishnarajendra Market - Kengeri TTMC,,
Arishinakunte - KR Puram,,
Depot 23 - Gun Troops Officer Colony,,
Kempegowda Bus Station - Bhodana Hosahalli,,
Krishnarajendra Market - Channasandra,,
Krishnarajendra Market - Arehalli,,
Krishnarajendra Market - Tattanur,,
Venkateshwara Nagara - Shivajinagar Bus Station,,
Kambipura - Kempegowda Bus Station,,
H Tippunagar - Krishnarajendra Market,,
Kambipura - Shivajinagar Bus Station,,
Neelasandra Rose Garden - Ramakrishna Hegde Nagara,,
Krishnarajendra Market - Razak Palya,,
Ambedkar Medical College Shampura - Shivajinagar Bus Station,,
Shanthinagar TTMC - Kadugodi,,
HBR Layout Ist Stage - Shivajinagar Bus Station,,
Bannerghatta National Park - JFWTC,,
Mestripalya - Kempegowda Bus Station,,
BAGMANE TECH PARK - Electronic City Wipro Gate,,
Kaggalipura - Electronic City,,
Jai Bharath Nagara - HBR Layout Ist Stage,,
Krishnarajendra Market - Thanisandra,,
Krishnarajendra Market - Ambedkar Medical College Shampura,,
Yelahanka - Shivajinagar Bus Station,,
Ramakrishna Hegde Nagara - MCTC Bus Stand,,
Krishnarajendra Market - Rachenahalli,,
Kempegowda Bus Station - Ramakrishna Hegde Nagara,,
Govinda Pura - Shivajinagar Bus Station,,
JFWTC - Srinivasa Nagara,,
Bande Kodigehalli - Shivajinagar Bus Station,,
Ramakrishna Hegde Nagara - Yeshwanthpur TTMC,,
Agrahara Layout - Krishnarajendra Market,,
Anantapura Gate - Vidyaranyapura,,
Banashankari Bus Station - Devanagundi,,
Banasawadi Horamvu - Christel House Learning School,,
Vidyaranyapura - Marathahalli Bridge,,
Tin Factory - Tin Factory,,
Peenya 2nd stage - KR Puram,,
Thoredoddi - Govt First Grade College Bidadi,,
Depot 10 - Lokesh Tent Circle,,
Banashankari Bus Station - Banashankari Bus Station,,
Krishnarajendra Market - Krishnarajendra Market,,
Kengeri Satelite Town - Kadugodi,,
Shivanapura - Chandapura,,
Banashankari Bus Station - Banashankari Bus Station,,
HAL/LCA - Thindlu,,
Tanisandra - Kempegowda Bus Station,,
Shivajinagar Bus Station - Rachenahalli,,
Shampura - Kempegowda Bus Station,,
Shivajinagar Bus Station - Nagavara,,
Agrahara Layout - Shivajinagar Bus Station,,
Yelahanka - Shivajinagar Bus Station,,
Shivajinagar Bus Station - RAILWAY GATE SHAMPURA,,
Shivajinagar Bus Station - Vidyasagara Bus Stop,,
Krishnarajendra Market - Mailanahalli Bagalur,,
Krishnarajendra Market - Marasandra Bagalur,,
Kempegowda Bus Station - Dasanayakanahalli,,
Shivajinagar Bus Station - Yarappanahalli,,
Krishnarajendra Market - HUNASOORU,,
Krishnarajendra Market - Muttugada Halli Chikka jala,,
Krishnarajendra Market - Singahalli,,
Krishnarajendra Market - KNarayanapura,,
Krishnarajendra Market - Kada Agrahara,,
Horamavu Agara - Krishnarajendra Market,,
Deepanjali nagara BMT-16 - Nagarabhavi BDA Complex,,
Chennamma kere Achukattu - Chowdeshwari Bus Stop,,
Thindlu - Outer Ring Road Company Association,,
Govinda Pura - Jagajeevanram Nagara,,
Krishnarajendra Market - Govinda Pura,,
Jayanagara 9th Block - Kempegowda Bus Station,,
Shivajinagar Bus Station - Yelahanka,,
Ramakrishna Hegde Nagara - Krishnarajendra Market,,
Kengeri Satelite Town - Bagmane Teck Park,,
Shivajinagar Bus Station - Rajanukunte,,
Mailanahalli Bagalur - Shivajinagar Bus Station,,
Kempegowda Bus Station - Govinda Pura,,
Shivajinagar Bus Station - JP Nagara 15th Cross,,
Kempegowda Bus Station - Banashankari 3rd Stage 3rd Phase,,
Nagaresha Nagenahalli Dinne - Shivajinagar Bus Station,,
Kempegowda Bus Station - KNarayanapura,,
